id,user_id,search
1,167,Meja
2,300,Jam Tangan
3,120,Kamera
4,131,Jasa Renovasi Rumah
5,49,Laptop
6,290,Lemari
7,135,Smartphone
8,21,Rak Buku
9,291,Les Matematika
10,285,Rak Buku
11,46,Televisi
12,135,Kamera
13,98,Kursi
14,220,Jam Tangan
15,13,Rak Buku
16,147,Jasa Perawatan Hewan
17,256,Jasa Pindahan
18,160,Jasa Perawatan Hewan
19,101,Smartphone
20,231,Kamera
21,159,Lemari
22,86,Jam Tangan
23,26,Smartphone
24,142,Pelajaran Gitar
25,297,Laptop
26,130,Kursi
27,11,Televisi
28,238,Kamera
29,271,Televisi
30,176,Laptop
31,149,Les Matematika
32,157,Laptop
33,206,Sepeda
34,170,Smartphone
35,109,Smartphone
36,108,Lemari
37,43,Kursi
38,142,Kursi
39,5,Jasa Perawatan Hewan
40,262,Televisi
41,151,Kursi
42,237,Televisi
43,267,Kamera
44,139,Les Matematika
45,233,Sepeda
46,9,Jasa Pindahan
47,146,Jam Tangan
48,242,Kursi
49,61,Jasa Kebersihan
50,49,Kamera
51,47,Televisi
52,293,Rak Buku
53,205,Jasa Perawatan Hewan
54,1,Jasa Cuci Mobil
55,269,Kursi
56,61,Laptop
57,6,Lemari
58,82,Rak Buku
59,16,Meja
60,52,Rak Buku
61,136,Smartphone
62,146,Kamera
63,271,Rak Buku
64,137,Jasa Pindahan
65,120,Meja
66,182,Smartphone
67,298,Televisi
68,8,Meja
69,145,Jam Tangan
70,273,Jam Tangan
71,299,Kursi
72,67,Meja
73,122,Rak Buku
74,98,Sepeda
75,189,Jam Tangan
76,95,Jam Tangan
77,107,Pelajaran Gitar
78,266,Kursi
79,233,Sepeda
80,19,Televisi
81,34,Kamera
82,68,Jasa Perawatan Hewan
83,50,Kursi
84,71,Smartphone
85,47,Kursi
86,224,Smartphone
87,89,Smartphone
88,80,Kamera
89,259,Televisi
90,245,Jam Tangan
91,190,Sepeda
92,105,Televisi
93,107,Kursi
94,170,Jasa Perawatan Hewan
95,13,Rak Buku
96,218,Meja
97,238,Laptop
98,276,Smartphone
99,188,Les Bahasa Inggris
100,40,Lemari
101,286,Lemari
102,90,Lemari
103,213,Smartphone
104,166,Kursi
105,71,Rak Buku
106,55,Jam Tangan
107,233,Rak Buku
108,245,Sepeda
109,7,Laptop
110,279,Meja
111,205,Sepeda
112,183,Jam Tangan
113,162,Les Bahasa Inggris
114,15,Pelajaran Gitar
115,297,Televisi
116,259,Lemari
117,19,Kamera
118,207,Meja
119,75,Lemari
120,213,Kursi
121,89,Kamera
122,294,Kursi
123,179,Jam Tangan
124,144,Smartphone
125,133,Smartphone
126,195,Sepeda
127,129,Kamera
128,14,Pelajaran Gitar
129,137,Rak Buku
130,54,Pelajaran Gitar
131,114,Kursi
132,283,Smartphone
133,184,Jam Tangan
134,142,Televisi
135,141,Sepeda
136,199,Kursi
137,263,Jam Tangan
138,104,Jasa Kebersihan
139,117,Jasa Fotografi
140,255,Jam Tangan
141,96,Jasa Kebersihan
142,248,Televisi
143,164,Kursi
144,29,Jasa Pindahan
145,129,Kamera
146,78,Lemari
147,170,Kursi
148,36,Televisi
149,72,Kursi
150,30,Smartphone
151,22,Kursi
152,94,Jasa Cuci Mobil
153,165,Laptop
154,259,Les Bahasa Inggris
155,178,Televisi
156,83,Lemari
157,269,Laptop
158,281,Lemari
159,5,Sepeda
160,120,Laptop
161,184,Sepeda
162,282,Televisi
163,271,Smartphone
164,119,Sepeda
165,176,Rak Buku
166,27,Les Bahasa Inggris
167,31,Jasa Perawatan Hewan
168,76,Rak Buku
169,112,Rak Buku
170,260,Lemari
171,139,Jam Tangan
172,99,Smartphone
173,264,Kamera
174,163,Jasa Cuci Mobil
175,257,Lemari
176,144,Sepeda
177,254,Smartphone
178,192,Jasa Cuci Mobil
179,248,Rak Buku
180,217,Lemari
181,243,Sepeda
182,144,Jasa Cuci Mobil
183,63,Smartphone
184,18,Rak Buku
185,256,Televisi
186,256,Jasa Fotografi
187,213,Lemari
188,147,Kursi
189,143,Les Bahasa Inggris
190,195,Smartphone
191,4,Jasa Cuci Mobil
192,135,Lemari
193,82,Televisi
194,296,Televisi
195,299,Laptop
196,280,Sepeda
197,6,Kursi
198,167,Jasa Cuci Mobil
199,47,Jasa Perawatan Hewan
200,291,Meja
201,177,Lemari
202,26,Laptop
203,219,Televisi
204,51,Kursi
205,17,Kamera
206,289,Lemari
207,88,Meja
208,178,Sepeda
209,45,Rak Buku
210,198,Jasa Tukang Kebun
211,119,Sepeda
212,25,Smartphone
213,147,Smartphone
