id,user_id,post_id
1,121,199
2,42,86
3,70,8
4,51,298
5,68,41
6,114,196
7,103,162
8,14,23
9,125,196
10,109,23
11,118,184
12,95,185
13,95,37
14,8,288
15,97,163
16,22,71
17,92,294
18,92,81
19,115,132
20,73,183
21,66,255
22,84,48
23,69,141
24,119,49
25,87,189
26,71,64
27,94,102
28,96,264
29,95,10
30,58,137
31,42,216
32,82,37
33,42,170
34,31,280
35,72,125
36,45,257
37,78,42
38,2,155
39,88,52
40,32,114
41,73,298
42,103,56
43,25,217
44,114,82
45,94,248
46,48,174
47,46,165
48,25,124
49,15,55
50,3,205
51,118,238
52,96,206
53,113,265
54,59,69
55,27,10
56,81,38
57,71,279
58,6,156
59,22,223
60,42,28
61,121,108
62,115,271
63,59,177
64,21,264
65,33,58
66,59,192
67,125,42
68,82,257
69,78,144
70,22,243
71,32,142
72,95,266
73,51,97
74,95,67
75,35,257
76,121,166
77,8,300
78,113,165
79,16,140
80,9,2
81,102,257
82,30,191
83,81,247
84,74,63
85,100,154
86,68,113
87,57,219
88,108,192
89,43,298
90,82,56
91,121,182
92,100,269
93,115,198
94,26,217
95,72,268
96,43,166
97,8,168
98,62,99
99,109,94
100,87,13
101,38,15
102,15,216
103,71,280
104,88,217
105,22,163
106,20,290
107,58,262
108,30,4
109,48,16
110,59,262
111,72,262
112,119,195
113,82,266
114,22,33
115,43,114
116,119,157
117,29,49
118,35,66
119,59,159
120,104,293
121,119,240
122,26,204
123,122,112
124,84,106
125,125,1
126,73,242
127,93,110
128,62,184
129,35,257
130,103,139
131,100,237
132,19,53
133,104,79
134,88,2
135,72,142
136,23,227
137,108,294
138,2,143
139,96,127
140,22,64
141,46,236
142,31,254
143,81,286
144,103,193
145,20,173
146,76,289
147,125,156
148,23,1
149,123,16
150,76,193
151,33,146
152,88,159
153,51,46
154,102,253
155,51,135
156,58,83
157,94,13
158,29,70
159,51,246
160,16,128
161,84,278
162,33,235
163,27,63
164,102,86
165,19,71
166,35,47
167,121,162
168,73,171
169,8,126
170,26,41
171,29,285
172,35,81
173,96,154
174,9,109
175,100,258
176,26,110
177,123,46
178,59,116
179,59,220
180,75,176
181,32,41
182,88,154
183,103,72
184,14,106
185,75,36
186,51,211
187,32,194
188,96,53
189,14,209
190,19,43
191,42,66
192,25,46
193,50,88
194,103,165
195,117,196
196,8,114
197,33,276
198,42,12
199,35,262
200,68,202
201,109,231
202,78,196
203,46,214
204,115,252
205,121,36
206,15,127
207,70,243
208,25,80
209,42,205
210,42,64
211,2,142
212,42,170
213,123,104
214,81,165
215,23,157
216,117,47
217,71,63
218,115,113
219,59,143
220,114,276
221,121,287
222,70,31
223,38,151
224,109,225
225,88,193
226,31,267
227,46,255
228,55,142
229,22,233
230,72,13
231,103,297
232,97,184
233,26,42
234,30,248
235,76,182
236,31,101
237,23,222
238,93,41
239,48,265
240,109,295
241,46,92
242,59,200
243,76,288
244,72,5
245,77,193
246,60,163
247,43,82
248,32,221
249,77,50
250,55,189
251,117,113
252,125,292
253,23,80
254,15,38
255,81,219
256,119,11
257,96,298
258,78,91
259,121,225
260,29,223
261,51,149
262,29,74
263,81,266
264,96,144
265,25,119
266,84,18
267,93,48
268,103,26
269,50,51
270,103,276
271,109,95
272,32,246
273,93,66
274,6,156
275,71,61
276,82,139
277,72,84
278,22,153
279,104,269
280,59,232
281,58,67
282,75,107
283,81,260
284,77,23
285,20,192
286,46,163
287,82,72
288,48,279
289,119,91
290,72,246
291,70,266
292,29,85
293,15,99
294,103,148
295,117,159
296,57,294
297,33,234
298,59,203
299,14,57
300,82,13
