id,title,image,description,type,status,created_at,updated_at,user_id
1,Rak Buku,rak buku1.jpg,Sebuah Rak Buku bekas,Barang,Selesai,2024-06-06 09:50:57,2024-06-06 14:50:57,120
2,Rak Buku,rak buku2.jpg,Sebuah Rak Buku bekas,Barang,Selesai,2024-05-24 08:36:06,2024-05-24 09:36:06,117
3,Rak Buku,rak buku3.jpg,Sebuah Rak Buku bekas,Barang,Tersedia,2024-05-26 13:16:33,2024-05-26 23:16:33,124
4,Lemari,lemari1.jpg,Sebuah Lemari bekas,Barang,Selesai,2024-05-31 17:35:32,2024-05-31 22:35:32,91
5,Lemari,lemari2.jpg,Sebuah Lemari bekas,Barang,Tersedia,2024-06-05 09:03:25,2024-06-05 11:03:25,14
6,Jasa Tukang Kebun,jasa tukang kebun1.jpg,Sebuah Jasa Tukang Kebun,Jasa,Selesai,2024-06-07 14:30:46,2024-06-08 00:30:46,49
7,Rak Buku,rak buku4.jpg,Sebuah Rak Buku bekas,Barang,Tersedia,2024-06-05 00:54:10,2024-06-05 01:54:10,38
8,Televisi,televisi1.jpg,Sebuah Televisi bekas,Barang,Tersedia,2024-05-25 17:53:56,2024-05-26 00:53:56,115
9,Televisi,televisi2.jpg,Sebuah Televisi bekas,Barang,Selesai,2024-06-06 15:54:09,2024-06-06 22:54:09,5
10,Meja,meja1.jpg,Sebuah Meja bekas,Barang,Selesai,2024-06-01 18:27:30,2024-06-01 23:27:30,117
11,Lemari,lemari3.jpg,Sebuah Lemari bekas,Barang,Tersedia,2024-05-20 22:51:52,2024-05-21 05:51:52,18
12,Les Bahasa Inggris,les bahasa inggris1.jpg,Sebuah Les Bahasa Inggris,Jasa,Tersedia,2024-06-07 00:54:56,2024-06-07 01:54:56,42
13,Les Bahasa Inggris,les bahasa inggris2.jpg,Sebuah Les Bahasa Inggris,Jasa,Selesai,2024-06-04 08:20:23,2024-06-04 14:20:23,47
14,Jasa Perawatan Hewan,jasa perawatan hewan1.jpg,Sebuah Jasa Perawatan Hewan,Jasa,Tersedia,2024-06-09 15:52:38,2024-06-09 21:52:38,14
15,Jasa Perawatan Hewan,jasa perawatan hewan2.jpg,Sebuah Jasa Perawatan Hewan,Jasa,Selesai,2024-06-01 15:18:32,2024-06-01 22:18:32,3
16,Jasa Perawatan Hewan,jasa perawatan hewan3.jpg,Sebuah Jasa Perawatan Hewan,Jasa,Selesai,2024-06-09 22:20:13,2024-06-10 04:20:13,30
17,Televisi,televisi3.jpg,Sebuah Televisi bekas,Barang,Tersedia,2024-06-02 23:54:28,2024-06-03 02:54:28,121
18,Laptop,laptop1.jpg,Sebuah Laptop bekas,Barang,Tersedia,2024-05-21 06:21:03,2024-05-21 07:21:03,78
19,Rak Buku,rak buku5.jpg,Sebuah Rak Buku bekas,Barang,Selesai,2024-06-08 10:23:13,2024-06-08 12:23:13,103
20,Rak Buku,rak buku6.jpg,Sebuah Rak Buku bekas,Barang,Tersedia,2024-05-25 02:05:07,2024-05-25 07:05:07,54
21,Rak Buku,rak buku7.jpg,Sebuah Rak Buku bekas,Barang,Tersedia,2024-05-22 02:44:37,2024-05-22 07:44:37,102
22,Jasa Perawatan Hewan,jasa perawatan hewan4.jpg,Sebuah Jasa Perawatan Hewan,Jasa,Tersedia,2024-05-29 15:17:41,2024-05-30 00:17:41,41
23,Jasa Perawatan Hewan,jasa perawatan hewan5.jpg,Sebuah Jasa Perawatan Hewan,Jasa,Selesai,2024-05-20 11:49:47,2024-05-20 21:49:47,5
24,Rak Buku,rak buku8.jpg,Sebuah Rak Buku bekas,Barang,Tersedia,2024-05-21 09:18:53,2024-05-21 15:18:53,122
25,Rak Buku,rak buku9.jpg,Sebuah Rak Buku bekas,Barang,Selesai,2024-06-05 10:40:47,2024-06-05 17:40:47,106
26,Lemari,lemari4.jpg,Sebuah Lemari bekas,Barang,Tersedia,2024-06-10 12:07:00,2024-06-10 17:07:00,73
27,Rak Buku,rak buku10.jpg,Sebuah Rak Buku bekas,Barang,Selesai,2024-05-23 10:00:21,2024-05-23 15:00:21,59
28,Meja,meja2.jpg,Sebuah Meja bekas,Barang,Selesai,2024-06-07 06:13:46,2024-06-07 07:13:46,15
29,Televisi,televisi4.jpg,Sebuah Televisi bekas,Barang,Tersedia,2024-05-30 06:10:05,2024-05-30 15:10:05,37
30,Smartphone,smartphone1.jpg,Sebuah Smartphone bekas,Barang,Selesai,2024-06-08 11:52:14,2024-06-08 17:52:14,41
31,Smartphone,smartphone2.jpg,Sebuah Smartphone bekas,Barang,Selesai,2024-05-29 20:01:33,2024-05-30 04:01:33,103
32,Smartphone,smartphone3.jpg,Sebuah Smartphone bekas,Barang,Tersedia,2024-05-27 14:51:27,2024-05-27 23:51:27,55
33,Televisi,televisi5.jpg,Sebuah Televisi bekas,Barang,Selesai,2024-06-06 14:34:19,2024-06-06 22:34:19,73
34,Meja,meja3.jpg,Sebuah Meja bekas,Barang,Selesai,2024-05-26 11:32:03,2024-05-26 18:32:03,80
35,Sepeda,sepeda1.jpg,Sebuah Sepeda bekas,Barang,Tersedia,2024-05-25 08:54:32,2024-05-25 13:54:32,39
36,Sepeda,sepeda2.jpg,Sebuah Sepeda bekas,Barang,Tersedia,2024-06-07 02:52:28,2024-06-07 06:52:28,102
37,Sepeda,sepeda3.jpg,Sebuah Sepeda bekas,Barang,Tersedia,2024-06-06 04:47:15,2024-06-06 14:47:15,101
38,Sepeda,sepeda4.jpg,Sebuah Sepeda bekas,Barang,Selesai,2024-06-04 00:12:28,2024-06-04 02:12:28,110
39,Jam Tangan,jam tangan1.jpg,Sebuah Jam Tangan bekas,Barang,Selesai,2024-06-03 22:55:33,2024-06-04 00:55:33,121
40,Sepeda,sepeda5.jpg,Sebuah Sepeda bekas,Barang,Tersedia,2024-05-23 15:40:59,2024-05-23 23:40:59,121
41,Televisi,televisi6.jpg,Sebuah Televisi bekas,Barang,Selesai,2024-06-08 14:05:51,2024-06-08 22:05:51,72
42,Jasa Renovasi Rumah,jasa renovasi rumah1.jpg,Sebuah Jasa Renovasi Rumah,Jasa,Tersedia,2024-05-23 11:44:02,2024-05-23 19:44:02,5
43,Kamera,kamera1.jpg,Sebuah Kamera bekas,Barang,Tersedia,2024-05-23 09:23:46,2024-05-23 15:23:46,39
44,Lemari,lemari5.jpg,Sebuah Lemari bekas,Barang,Selesai,2024-05-31 16:15:52,2024-06-01 02:15:52,8
45,Sepeda,sepeda6.jpg,Sebuah Sepeda bekas,Barang,Selesai,2024-05-22 07:25:40,2024-05-22 11:25:40,8
46,Rak Buku,rak buku11.jpg,Sebuah Rak Buku bekas,Barang,Tersedia,2024-05-25 05:15:37,2024-05-25 11:15:37,120
47,Lemari,lemari6.jpg,Sebuah Lemari bekas,Barang,Selesai,2024-06-02 21:46:01,2024-06-03 00:46:01,35
48,Lemari,lemari7.jpg,Sebuah Lemari bekas,Barang,Tersedia,2024-05-22 22:02:47,2024-05-22 23:02:47,47
49,Jasa Cuci Mobil,jasa cuci mobil1.jpg,Sebuah Jasa Cuci Mobil,Jasa,Tersedia,2024-05-27 07:55:35,2024-05-27 11:55:35,56
50,Jasa Kebersihan,jasa kebersihan1.jpg,Sebuah Jasa Kebersihan,Jasa,Selesai,2024-05-23 05:01:30,2024-05-23 07:01:30,89
51,Rak Buku,rak buku12.jpg,Sebuah Rak Buku bekas,Barang,Tersedia,2024-06-09 01:35:53,2024-06-09 08:35:53,114
52,Smartphone,smartphone4.jpg,Sebuah Smartphone bekas,Barang,Selesai,2024-05-27 03:38:28,2024-05-27 08:38:28,18
53,Kursi,kursi1.jpg,Sebuah Kursi bekas,Barang,Tersedia,2024-06-10 09:45:53,2024-06-10 10:45:53,40
54,Kursi,kursi2.jpg,Sebuah Kursi bekas,Barang,Tersedia,2024-05-28 07:21:14,2024-05-28 09:21:14,109
