userId,id,title,description,image,updated_at,created_at,type,status,interest_count
B2nZIGPRbFgLKr3RGxHOT84szen1,0HN0pHHLONAsYPPFbVKT,Sepatu Sneakers Converse Chuck Taylor,"Converse Chuck Taylor, warna putih, sedikit kotor, ingin ditukar dengan kaos kaki panjang berkualitas.",https://storage.googleapis.com/barterbuddy.appspot.com/B2nZIGPRbFgLKr3RGxHOT84szen1/posts/0HN0pHHLONAsYPPFbVKT-1718186354510-sepatu3.jpg,2024-06-12T09:59:14+00:00,2024-06-12T09:59:14+00:00,Barang,Tersedia,1
K5UYVa6CHkTHPmHdHSsmKz7JnFq2,0JE1MH7pqKZuiT6b9Nk9,Setrika Philips Bekas,"Setrika Philips bekas dalam kondisi baik, masih berfungsi dengan baik. Saya ingin menukarnya dengan blender atau pemanggang roti yang masih layak pakai.",https://storage.googleapis.com/barterbuddy.appspot.com/K5UYVa6CHkTHPmHdHSsmKz7JnFq2/posts/0JE1MH7pqKZuiT6b9Nk9-1718186585723-setrika1.jpeg,2024-06-12T10:03:05+00:00,2024-06-12T10:03:05+00:00,Barang,Tersedia,1
ChstE0MHPJSo9qeGevLJqNdbmpm2,0R0LXrbbtbrCfhnmrcCP,Sepatu Slip-on Wanita Skechers,"Slip-on Skechers, warna hitam putih, nyaman untuk sehari-hari, ingin ditukar dengan sepatu kets.",https://storage.googleapis.com/barterbuddy.appspot.com/ChstE0MHPJSo9qeGevLJqNdbmpm2/posts/0R0LXrbbtbrCfhnmrcCP-1718186357658-sepatu10.jpg,2024-06-12T09:59:17+00:00,2024-06-12T09:59:17+00:00,Barang,Tersedia,5
o4QhFjGeVqbXQnCn4Dq5Pg4RyP82,0mNeUgZG6Q7j9zLfU7zm,Kursus Gitar untuk Pemula,Kursus gitar khusus pemula yang dirancang untuk mempelajari \ndasar-dasar bermain gitar dengan metode yang mudah dipahami.,https://storage.googleapis.com/barterbuddy.appspot.com/o4QhFjGeVqbXQnCn4Dq5Pg4RyP82/posts/0mNeUgZG6Q7j9zLfU7zm-1718186309598-pelajaran_gitar3.jpg,2024-06-12T09:58:29+00:00,2024-06-12T09:58:29+00:00,Jasa,Tersedia,1
omTazEgKC3gZXKPEhy3WUkmN0lt2,0u6gU53MePU4W2UJCpYy,Instruktur Gitar Listrik \nProfesional,Instruktur gitar listrik profesional yang siap membantu Anda menguasai \nteknik-teknik bermain gitar listrik dengan efektif.,https://storage.googleapis.com/barterbuddy.appspot.com/omTazEgKC3gZXKPEhy3WUkmN0lt2/posts/0u6gU53MePU4W2UJCpYy-1718186310742-pelajaran_gitar6.jpg,2024-06-12T09:58:30+00:00,2024-06-12T09:58:30+00:00,Jasa,Tersedia,1
nR3NotLeTZUcT1t38L20L8N5piw1,12Pu4tP3CYJ9mKUR51ji,Meja Kerja Minimalis,"Meja kerja dengan desain minimalis, cocok untuk ruang modern. Saya mencari pertukaran dengan rak penyimpanan atau tanaman hias.",https://storage.googleapis.com/barterbuddy.appspot.com/nR3NotLeTZUcT1t38L20L8N5piw1/posts/12Pu4tP3CYJ9mKUR51ji-1718186307654-meja9.jpg,2024-06-12T09:58:27+00:00,2024-06-12T09:58:27+00:00,Barang,Tersedia,1
V3LyjFG5QXZwhkDVNKc7LQMSxNg1,1IQEhrUi8vacA7a7qFhx,Perawatan Taman Harian,Ahli taman yang siap menciptakan keindahan di halaman rumah Anda.,https://storage.googleapis.com/barterbuddy.appspot.com/V3LyjFG5QXZwhkDVNKc7LQMSxNg1/posts/1IQEhrUi8vacA7a7qFhx-1718186274350-jasa_tukang_kebun6.jpg,2024-06-12T09:57:54+00:00,2024-06-12T09:57:54+00:00,Jasa,Tersedia,1
D5fLMc1gM7YjFK5C1xxgCgZ2ydz1,1ItSjTUAvvxT3Ge4vUtP,Tas Ransel Kulit Bekas,Tas ransel kulit bekas dengan sedikit tanda pemakaian namun masih kokoh. Saya mencari tukar tambah dengan jaket kulit yang layak pakai.,https://storage.googleapis.com/barterbuddy.appspot.com/D5fLMc1gM7YjFK5C1xxgCgZ2ydz1/posts/1ItSjTUAvvxT3Ge4vUtP-1718186227966-tas2.jpg,2024-06-12T09:57:08+00:00,2024-06-12T09:57:08+00:00,Barang,Tersedia,1
KtUPvfnKHePnIS1QoazDd342uVi2,1TVOWbEOLt6JmW4YO9En,Gaba National Electric Oven,"Oven merk Gaba National, pemakaian 2 tahun. Kondisi masih sangat baik, mines lecet sedikit.",https://storage.googleapis.com/barterbuddy.appspot.com/KtUPvfnKHePnIS1QoazDd342uVi2/posts/1TVOWbEOLt6JmW4YO9En-1718186588805-oven2.jpg,2024-06-12T10:03:08+00:00,2024-06-12T10:03:08+00:00,Barang,Tersedia,1
AmptEHrjJNXRhN3c1nWlgXH8aZB3,1WChz3Ka8F29pgpVUi4I,Buku Nanti Kita Cerita Tentang Hari Ini,"Novel bekas dalam kondisi bagus, ingin saya tukar dengan kursi bean bag.",https://storage.googleapis.com/barterbuddy.appspot.com/AmptEHrjJNXRhN3c1nWlgXH8aZB3/posts/1WChz3Ka8F29pgpVUi4I-1718186353484-buku12.jpg,2024-06-12T09:59:13+00:00,2024-06-12T09:59:13+00:00,Barang,Tersedia,1
UgOf4HHodpaUKbgoDt3htzvFqZ32,1fI2AsboOWDnWYdGByLl,Blossom Landscape,Desain dan perawatan taman yang artistik dan fungsional.,https://storage.googleapis.com/barterbuddy.appspot.com/UgOf4HHodpaUKbgoDt3htzvFqZ32/posts/1fI2AsboOWDnWYdGByLl-1718186273510-jasa_tukang_kebun4.jpg,2024-06-12T09:57:53+00:00,2024-06-12T09:57:53+00:00,Jasa,Tersedia,11
SuuHeHwskggLhkcHLwkHVPcZwFv1,1xZ9KVbS26wb3vsIxy41,Lensa Kreatif Fotografi,Abadikan momen berharga Anda dengan sentuhan profesional.,https://storage.googleapis.com/barterbuddy.appspot.com/SuuHeHwskggLhkcHLwkHVPcZwFv1/posts/1xZ9KVbS26wb3vsIxy41-1718186269294-jasa_fotografi5.jpg,2024-06-12T09:57:49+00:00,2024-06-12T09:57:49+00:00,Jasa,Tersedia,1
PA7pRTPYklfYBqp4xK4gd5ini5e2,233HkKmghtewpKkAOhn9,Jam Tangan Suunto Spartan,"Kondisi bekas, beberapa goresan kecil. Ingin menukar dengan perangkat audio atau gadget.",https://storage.googleapis.com/barterbuddy.appspot.com/PA7pRTPYklfYBqp4xK4gd5ini5e2/posts/233HkKmghtewpKkAOhn9-1718186260187-jam_tangan10.jpg,2024-06-12T09:57:40+00:00,2024-06-12T09:57:40+00:00,Barang,Tersedia,1
7TZM6gunguRajjQi0kwFz0RNnRp2,25GgE3R6YKwijP8ho0sA,Televisi Sanyo 32 Inch,Memiliki fitur-fitur terbaru dan canggih. Dicari sofa sebagai barter.,https://storage.googleapis.com/barterbuddy.appspot.com/7TZM6gunguRajjQi0kwFz0RNnRp2/posts/25GgE3R6YKwijP8ho0sA-1718186345120-televisi40.jpg,2024-06-12T09:59:05+00:00,2024-06-12T09:59:05+00:00,Barang,Tersedia,1
sUdJb3cIvNR322dLeTwq67H1P7J3,2CB8HsZIUibZxCKj6wWu,Rak Buku Kayu Jati Antik,"Lemari antik, cocok untuk koleksi. Mencari tukar dengan barang antik lainnya atau kursi.",https://storage.googleapis.com/barterbuddy.appspot.com/sUdJb3cIvNR322dLeTwq67H1P7J3/posts/2CB8HsZIUibZxCKj6wWu-1718186319369-rak_buku25.jpg,2024-06-12T09:58:39+00:00,2024-06-12T09:58:39+00:00,Barang,Tersedia,1
